year,venue,papers,topics,final_outliers,final_outlier_rate
2020,AAAI,1601,11,0,0.0
2020,ACL,778,11,0,0.0
2020,ACMMM,473,10,0,0.0
2020,CHI,740,8,0,0.0
2020,CVPR,1466,13,0,0.0
2020,ECCV,1358,12,0,0.0
2020,EMNLP,751,11,0,0.0
2020,ICDE,232,6,0,0.0
2020,ICLR,687,8,0,0.0
2020,ICML,1084,11,0,0.0
2020,ICRA,1067,11,0,0.0
2020,IJCAI,778,10,0,0.0
2020,IROS,1115,10,0,0.0
2020,KDD,217,6,0,0.0
2020,MICCAI,80,6,0,0.0
2020,NeurIPS,1898,13,0,0.0
2020,RSS,98,4,0,0.0
2020,SIGIR,147,4,0,0.0
2020,SIGMOD,159,6,0,0.0
2020,WWW,317,6,0,0.0
2021,AAAI,1642,11,0,0.0
2021,ACL,710,12,0,0.0
2021,ACMMM,542,10,0,0.0
2021,CVPR,1660,14,0,0.0
2021,EMNLP,847,13,0,0.0
2021,ICCV,1612,14,0,0.0
2021,ICDE,274,7,0,0.0
2021,ICLR,859,10,0,0.0
2021,ICML,1183,11,0,0.0
2021,ICRA,1370,12,0,0.0
2021,IJCAI,722,9,0,0.0
2021,IROS,1018,9,0,0.0
2021,KDD,239,8,0,0.0
2021,MICCAI,68,5,0,0.0
2021,NAACL,477,11,0,0.0
2021,NeurIPS,2334,14,0,0.0
2021,RSS,88,5,0,0.0
2021,SIGGRAPH-Asia,17,1,0,0.0
2021,SIGIR,151,4,0,0.0
2021,SIGMOD,203,6,0,0.0
2021,WWW,355,7,0,0.0
2022,AAAI,1315,11,0,0.0
2022,ACL,700,12,0,0.0
2022,ACMMM,691,10,0,0.0
2022,CHI,634,8,0,0.0
2022,CVPR,2074,13,0,0.0
2022,ECCV,1645,14,0,0.0
2022,EMNLP,828,12,0,0.0
2022,ICDE,309,7,0,0.0
2022,ICLR,1061,10,0,0.0
2022,ICML,1233,12,0,0.0
2022,ICRA,923,12,0,0.0
2022,IJCAI,862,9,0,0.0
2022,IROS,1202,9,0,0.0
2022,KDD,253,7,0,0.0
2022,MICCAI,71,3,0,0.0
2022,NAACL,442,9,0,0.0
2022,NeurIPS,2671,15,0,0.0
2022,RSS,67,4,0,0.0
2022,SIGGRAPH,51,5,0,0.0
2022,SIGGRAPH-Asia,50,4,0,0.0
2022,SIGIR,161,4,0,0.0
2022,SIGMOD,153,6,0,0.0
2022,WWW,364,7,0,0.0
2023,AAAI,1572,11,0,0.0
2023,ACL,1075,13,0,0.0
2023,ACMMM,902,12,0,0.0
2023,CHI,871,9,0,0.0
2023,CVPR,2353,13,0,0.0
2023,EMNLP,1047,11,0,0.0
2023,ICCV,2156,16,0,0.0
2023,ICDE,371,8,0,0.0
2023,ICLR,1530,14,0,0.0
2023,ICML,1828,14,0,0.0
2023,ICRA,1333,9,0,0.0
2023,IJCAI,851,9,0,0.0
2023,IROS,1184,9,0,0.0
2023,KDD,313,8,0,0.0
2023,MICCAI,73,5,0,0.0
2023,NeurIPS,3218,17,0,0.0
2023,RSS,110,6,0,0.0
2023,SIGGRAPH,80,5,0,0.0
2023,SIGGRAPH-Asia,116,6,0,0.0
2023,SIGIR,165,4,0,0.0
2023,WWW,371,6,0,0.0
2024,AAAI,2331,14,0,0.0
2024,ACL,940,12,0,0.0
2024,ACMMM,1149,10,0,0.0
2024,CHI,1050,11,0,0.0
2024,COLM,299,8,0,0.0
2024,CVPR,2716,14,0,0.0
2024,ECCV,2387,14,0,0.0
2024,EMNLP,1268,13,0,0.0
2024,ICDE,483,10,0,0.0
2024,ICLR,2260,13,0,0.0
2024,ICML,2610,15,0,0.0
2024,ICRA,1742,14,0,0.0
2024,IJCAI,1048,10,0,0.0
2024,IROS,1573,11,0,0.0
2024,KDD,411,10,0,0.0
2024,MICCAI,71,5,0,0.0
2024,NAACL,562,11,0,0.0
2024,NeurIPS,4034,17,0,0.0
2024,RSS,131,5,0,0.0
2024,SIGGRAPH,121,5,0,0.0
2024,SIGGRAPH-Asia,141,5,0,0.0
2024,SIGIR,214,7,0,0.0
2024,WWW,404,8,0,0.0
2025,AAAI,3028,16,0,0.0
2025,ACL,1699,15,0,0.0
2025,ACMMM,1249,12,0,0.0
2025,CHI,1243,11,0,0.0
2025,COLM,418,10,0,0.0
2025,CVPR,2871,15,0,0.0
2025,EMNLP,1809,12,0,0.0
2025,ICCV,2701,14,0,0.0
2025,ICDE,390,8,0,0.0
2025,ICLR,3703,17,0,0.0
2025,ICML,3330,17,0,0.0
2025,ICRA,1593,13,0,0.0
2025,IJCAI,1280,11,0,0.0
2025,IROS,1976,12,0,0.0
2025,KDD,552,9,0,0.0
2025,MICCAI,65,5,0,0.0
2025,NAACL,718,12,0,0.0
2025,NeurIPS,5286,15,0,0.0
2025,SIGGRAPH,161,6,0,0.0
2025,SIGGRAPH-Asia,192,7,0,0.0
2025,SIGIR,239,6,0,0.0
2025,WWW,154,5,0,0.0
2026,AAAI,4149,20,0,0.0
2026,ICLR,5352,19,0,0.0
