venue,year,specific_parent_category,specific_label_cn,count,venue_year_total,share
AAAI,2020,Information Extraction,知识抽取：实体识别、关系抽取与事件理解,336,1601,0.2098688319800125
AAAI,2020,Computer Vision,视觉感知：语义/实例/全景分割,213,1601,0.1330418488444722
AAAI,2020,Recommendation,推荐系统：排序、召回与点击率预测,162,1601,0.1011867582760774
AAAI,2020,Optimization,优化理论：随机/非凸优化与收敛率,156,1601,0.0974391005621486
AAAI,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,141,1601,0.0880699562773266
AAAI,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,127,1601,0.0793254216114928
AAAI,2020,Video Understanding,视频理解：动作识别、长视频与时序建模,117,1601,0.0730793254216115
AAAI,2020,Optimization,组合优化：SAT求解、整数规划与搜索,109,1601,0.0680824484697064
AAAI,2020,Agents / Game Theory,多智能体：机制设计、拍卖与资源分配,105,1601,0.0655840099937539
AAAI,2020,Time Series,时序建模：时间序列预测、动力系统与基础模型,104,1601,0.0649594003747657
AAAI,2020,Medical LLM,医疗大模型：临床推理、医学影像与健康问答,31,1601,0.0193628981886321
ACL,2020,Generative AI,生成模型：扩散模型、采样与内容生成,169,778,0.2172236503856041
ACL,2020,NLP,多语言NLP：机器翻译、跨语言与低资源,161,778,0.2069408740359897
ACL,2020,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,111,778,0.1426735218508997
ACL,2020,Efficient LLMs,高效大模型：推理加速、压缩与资源优化,100,778,0.1285347043701799
ACL,2020,Knowledge Graph,知识图谱：实体关系、推理与补全,89,778,0.1143958868894601
ACL,2020,Computer Vision,开放词汇视觉：开放词汇检测、分割与CLIP语义,46,778,0.0591259640102827
ACL,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,44,778,0.0565552699228791
ACL,2020,Text Generation,文本生成：摘要、事实性与可控生成,35,778,0.0449871465295629
ACL,2020,Multimodal LLM,多模态大模型：视觉语言理解与跨模态推理,23,778,0.0295629820051413
ACMMM,2020,Computer Vision,视觉感知：目标检测、识别与视觉表征,83,473,0.175475687103594
ACMMM,2020,Computer Vision,底层视觉：超分、去噪、增强与图像复原,74,473,0.1564482029598308
ACMMM,2020,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,62,473,0.1310782241014799
ACMMM,2020,Efficient LLMs,高效大模型：推理加速、压缩与资源优化,59,473,0.1247357293868921
ACMMM,2020,Video Understanding,视频语言理解：视频检索、时刻定位与时序推理,47,473,0.0993657505285412
ACMMM,2020,Multimodal Generation,多模态音视频生成：语音、音乐与情感生成,44,473,0.0930232558139534
ACMMM,2020,3D Vision,三维视觉：点云、深度估计与相机姿态,43,473,0.0909090909090909
ACMMM,2020,Security / Vision,多媒体安全：Deepfake检测、伪造识别与攻防,25,473,0.0528541226215644
ACMMM,2020,Speech / Audio,语音音频：ASR、说话人与音频理解,20,473,0.0422832980972515
ACMMM,2020,Recommendation,推荐系统：排序、召回与点击率预测,16,473,0.0338266384778012
