venue,venue_type,first_year,last_year,years,papers,abstracts,abstract_rate
AAAI,conference,2020,2026,7,15669,14929,0.9528
ACL,conference,2020,2025,6,5902,5902,1.0
ACMMM,conference,2020,2025,6,5007,4790,0.9567
CHI,conference,2020,2025,5,4573,0,0.0
COLM,conference,2024,2025,2,717,717,1.0
CVPR,conference,2020,2025,6,13140,13137,0.9998
ECCV,conference,2020,2024,3,5390,5390,1.0
EMNLP,conference,2020,2025,6,6550,6550,1.0
ICCV,conference,2021,2025,3,6469,6469,1.0
ICDE,conference,2020,2025,6,2132,0,0.0
ICLR,conference,2020,2026,7,15452,15452,1.0
ICML,conference,2020,2025,6,11268,11268,1.0
ICRA,conference,2020,2025,6,8093,626,0.0774
IJCAI,conference,2020,2025,6,5541,5541,1.0
IROS,conference,2020,2025,6,8136,0,0.0
KDD,conference,2020,2025,6,1985,1979,0.997
MICCAI,conference,2020,2025,6,431,0,0.0
NAACL,conference,2021,2025,4,2199,2198,0.9995
NeurIPS,conference,2020,2025,6,19441,19432,0.9995
RSS,conference,2020,2024,5,515,0,0.0
SIGGRAPH,conference,2022,2025,4,455,0,0.0
SIGGRAPH-Asia,conference,2021,2025,5,539,0,0.0
SIGIR,conference,2020,2025,6,1077,1065,0.9889
SIGMOD,conference,2020,2022,3,545,0,0.0
WWW,conference,2020,2025,6,1967,1962,0.9975
