venue,years,first_year,last_year,papers,topics,avg_topics_per_year,max_topics_in_year,final_outliers,abstract_rate
NeurIPS,6,2020,2025,19441,91,15.2,17,0,0.9995
AAAI,7,2020,2026,15638,94,13.4,20,0,0.9528
ICLR,7,2020,2026,15452,91,13.0,19,0,1.0
CVPR,6,2020,2025,13140,82,13.7,15,0,0.9998
ICML,6,2020,2025,11268,80,13.3,17,0,1.0
IROS,6,2020,2025,8068,60,10.0,12,0,0.0
ICRA,6,2020,2025,8028,71,11.8,14,0,0.0774
EMNLP,6,2020,2025,6550,72,12.0,13,0,1.0
ICCV,3,2021,2025,6469,44,14.7,16,0,1.0
ACL,6,2020,2025,5902,75,12.5,15,0,1.0
IJCAI,6,2020,2025,5541,58,9.7,11,0,1.0
ECCV,3,2020,2024,5390,40,13.3,14,0,1.0
ACMMM,6,2020,2025,5006,64,10.7,12,0,0.9567
CHI,5,2020,2025,4538,47,9.4,11,0,0.0
NAACL,4,2021,2025,2199,43,10.8,12,0,0.9995
ICDE,6,2020,2025,2059,46,7.7,10,0,0.0
KDD,6,2020,2025,1985,48,8.0,10,0,0.997
WWW,6,2020,2025,1965,39,6.5,8,0,0.9975
SIGIR,6,2020,2025,1077,29,4.8,7,0,0.9889
COLM,2,2024,2025,717,18,9.0,10,0,1.0
SIGGRAPH-Asia,5,2021,2025,516,23,4.6,7,0,0.0
SIGMOD,3,2020,2022,515,18,6.0,6,0,0.0
RSS,5,2020,2024,494,24,4.8,6,0,0.0
MICCAI,6,2020,2025,428,29,4.8,6,0,0.0
SIGGRAPH,4,2022,2025,413,21,5.2,6,0,0.0
