venue,year,papers,raw_outliers,final_outliers,topics_excluding_outlier,min_topic_size,model_name,algorithm,n_neighbors,min_similarity,resolution,graph_nodes,graph_edges,raw_communities,merge_methods,raw_outlier_rate,final_outlier_rate
AAAI,2020,1601,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1601,22754,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACL,2020,778,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,778,11211,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACMMM,2020,473,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,473,6573,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CHI,2020,740,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,740,10497,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'merged_small_to_0'}",0.0,0.0
CVPR,2020,1466,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1466,20906,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ECCV,2020,1358,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1358,19536,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
EMNLP,2020,751,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,751,10897,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ICDE,2020,232,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,232,3268,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
ICLR,2020,687,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,687,9804,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
ICML,2020,1084,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1084,15564,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ICRA,2020,1067,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1067,15577,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
IJCAI,2020,778,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,778,10916,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
IROS,2020,1115,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1115,15969,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
KDD,2020,217,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,217,3124,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
MICCAI,2020,80,0,0,6,8,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,80,1087,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
NeurIPS,2020,1898,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1898,27655,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
RSS,2020,98,0,0,4,9,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,98,1315,4,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain'}",0.0,0.0
SIGIR,2020,147,0,0,4,14,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,147,2111,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'merged_small_to_2'}",0.0,0.0
SIGMOD,2020,159,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,159,2356,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'merged_small_to_0'}",0.0,0.0
WWW,2020,317,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,317,4627,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'merged_small_to_3', 7: 'merged_small_to_2'}",0.0,0.0
AAAI,2021,1642,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1642,23374,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACL,2021,710,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,710,10260,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ACMMM,2021,542,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,542,7495,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CVPR,2021,1660,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1660,23925,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
EMNLP,2021,847,0,0,13,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,847,12394,13,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain'}",0.0,0.0
ICCV,2021,1612,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1612,23008,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
ICDE,2021,274,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,274,3755,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain'}",0.0,0.0
ICLR,2021,859,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,859,12210,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
ICML,2021,1183,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1183,17186,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ICRA,2021,1370,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1370,19782,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
IJCAI,2021,722,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,722,10123,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
IROS,2021,1018,0,0,9,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1018,14656,9,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain'}",0.0,0.0
KDD,2021,239,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,239,3489,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
MICCAI,2021,68,0,0,5,6,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,68,923,5,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain'}",0.0,0.0
NAACL,2021,477,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,477,6787,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
NeurIPS,2021,2334,0,0,14,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,2334,34084,14,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain', 12: 'louvain', 13: 'louvain'}",0.0,0.0
RSS,2021,88,0,0,5,8,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,88,1172,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'merged_small_to_2'}",0.0,0.0
SIGGRAPH-Asia,2021,17,0,0,1,5,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,17,136,14,"{0: 'single_topic_fallback', 1: 'single_topic_fallback', 2: 'single_topic_fallback', 3: 'single_topic_fallback', 4: 'single_topic_fallback', 5: 'single_topic_fallback', 6: 'single_topic_fallback', 7: 'single_topic_fallback', 8: 'single_topic_fallback', 9: 'single_topic_fallback', 10: 'single_topic_fallback', 11: 'single_topic_fallback', 12: 'single_topic_fallback', 13: 'single_topic_fallback'}",0.0,0.0
SIGIR,2021,151,0,0,4,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,151,2107,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 5: 'merged_small_to_1', 4: 'merged_small_to_3'}",0.0,0.0
SIGMOD,2021,203,0,0,6,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,203,2913,6,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain'}",0.0,0.0
WWW,2021,355,0,0,7,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,355,5304,7,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain'}",0.0,0.0
AAAI,2022,1315,0,0,11,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,1315,18766,11,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain'}",0.0,0.0
ACL,2022,700,0,0,12,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,700,10198,12,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain', 10: 'louvain', 11: 'louvain'}",0.0,0.0
ACMMM,2022,691,0,0,10,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,691,9738,10,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain', 8: 'louvain', 9: 'louvain'}",0.0,0.0
CHI,2022,634,0,0,8,15,/Users/lizhiheng/Documents/New project/AI-Paper-Trends-main/models/bge-base-en-v1.5,knn_louvain,20,0.22,1.25,634,8772,8,"{0: 'louvain', 1: 'louvain', 2: 'louvain', 3: 'louvain', 4: 'louvain', 5: 'louvain', 6: 'louvain', 7: 'louvain'}",0.0,0.0
