area,venue,venue_type,year,papers,abstracts,abstract_rate,doi
Multimedia / HCI / graphics,SIGGRAPH,conference,1974,53,0,0.0,53
Multimedia / HCI / graphics,SIGGRAPH,conference,1975,36,0,0.0,16
Multimedia / HCI / graphics,SIGGRAPH,conference,1976,56,0,0.0,56
Multimedia / HCI / graphics,SIGGRAPH,conference,1977,45,0,0.0,45
Multimedia / HCI / graphics,SIGGRAPH,conference,1978,63,0,0.0,63
General AI,IJCAI,conference,1979,226,0,0.0,0
Multimedia / HCI / graphics,SIGGRAPH,conference,1979,43,0,0.0,43
NLP / language,ACL,conference,1979,29,0,0.0,0
Multimedia / HCI / graphics,SIGGRAPH,conference,1980,52,0,0.0,52
NLP / language,ACL,conference,1980,45,0,0.0,0
Multimedia / HCI / graphics,SIGGRAPH,conference,1981,37,0,0.0,37
NLP / language,ACL,conference,1981,36,0,0.0,0
Multimedia / HCI / graphics,CHI,conference,1982,75,0,0.0,75
Multimedia / HCI / graphics,SIGGRAPH,conference,1982,48,0,0.0,48
NLP / language,ACL,conference,1982,40,0,0.0,0
Multimedia / HCI / graphics,CHI,conference,1983,58,0,0.0,58
Multimedia / HCI / graphics,SIGGRAPH,conference,1983,45,0,0.0,45
NLP / language,ACL,conference,1983,26,0,0.0,0
Multimedia / HCI / graphics,SIGGRAPH,conference,1984,41,0,0.0,41
NLP / language,ACL,conference,1984,117,0,0.0,0
Robotics / embodied AI,ICRA,conference,1984,74,0,0.0,74
Multimedia / HCI / graphics,CHI,conference,1985,41,0,0.0,41
Multimedia / HCI / graphics,SIGGRAPH,conference,1985,46,0,0.0,46
NLP / language,ACL,conference,1985,41,0,0.0,0
Robotics / embodied AI,ICRA,conference,1985,158,0,0.0,158
Multimedia / HCI / graphics,CHI,conference,1986,55,0,0.0,55
Multimedia / HCI / graphics,SIGGRAPH,conference,1986,35,0,0.0,35
NLP / language,ACL,conference,1986,42,0,0.0,0
Robotics / embodied AI,ICRA,conference,1986,339,0,0.0,339
ML / learning,NeurIPS,conference,1987,90,8,0.0889,0
Multimedia / HCI / graphics,CHI,conference,1987,58,0,0.0,58
Multimedia / HCI / graphics,SIGGRAPH,conference,1987,36,0,0.0,36
NLP / language,ACL,conference,1987,35,0,0.0,0
Robotics / embodied AI,ICRA,conference,1987,329,0,0.0,329
ML / learning,NeurIPS,conference,1988,94,10,0.1064,0
Multimedia / HCI / graphics,CHI,conference,1988,48,0,0.0,48
Multimedia / HCI / graphics,SIGGRAPH,conference,1988,50,0,0.0,50
NLP / language,ACL,conference,1988,36,0,0.0,0
Robotics / embodied AI,ICRA,conference,1988,329,0,0.0,329
Robotics / embodied AI,IROS,conference,1988,129,0,0.0,129
ML / learning,NeurIPS,conference,1989,101,3,0.0297,0
Multimedia / HCI / graphics,CHI,conference,1989,73,0,0.0,73
Multimedia / HCI / graphics,SIGGRAPH,conference,1989,38,0,0.0,38
