year,venues,venue_year_units,papers,abstracts,doi,abstract_rate
1974,1,1,53,0,53,0.0
1975,1,1,36,0,16,0.0
1976,1,1,56,0,56,0.0
1977,1,1,45,0,45,0.0
1978,1,1,63,0,63,0.0
1979,3,3,298,0,43,0.0
1980,2,2,97,0,52,0.0
1981,2,2,73,0,37,0.0
1982,3,3,163,0,123,0.0
1983,3,3,129,0,103,0.0
1984,3,3,232,0,115,0.0
1985,4,4,286,0,245,0.0
1986,4,4,471,0,429,0.0
1987,5,5,548,8,423,0.0146
1988,6,6,686,10,556,0.0146
1989,6,6,617,3,481,0.0049
1990,7,7,846,2,663,0.0024
1991,6,6,984,1,783,0.001
1992,6,6,1049,1,866,0.001
1993,7,7,896,12,689,0.0134
1994,8,8,861,2,667,0.0023
1995,6,6,843,5,632,0.0059
1996,8,8,1247,0,957,0.0
1997,7,7,1227,0,931,0.0
1998,8,8,1165,1,699,0.0009
1999,9,9,1012,63,688,0.0623
2000,23,23,2970,355,2238,0.1195
2001,24,24,3298,499,2622,0.1513
2002,23,23,3264,533,2723,0.1633
2003,24,24,3783,410,3043,0.1084
2004,26,26,3539,501,2991,0.1416
2005,23,23,4313,458,3175,0.1062
2006,27,27,5630,896,4749,0.1591
2007,22,22,5154,293,3822,0.0568
2008,23,23,4677,509,3993,0.1088
2009,21,21,4766,202,3911,0.0424
2010,23,23,5333,712,4461,0.1335
2011,22,22,5349,1083,4478,0.2025
2012,27,27,6331,1661,5346,0.2624
2013,27,27,7109,2481,4520,0.349
2014,26,26,6983,2291,5114,0.3281
2015,25,25,8010,3476,4764,0.434
2016,28,28,8483,3621,5337,0.4269
2017,27,27,10427,6309,5932,0.6051
2018,25,25,11607,7297,5613,0.6287
2019,27,27,15657,10516,6884,0.6716
2020,26,26,18955,14570,7632,0.7687
2021,28,28,21612,16165,8526,0.748
2022,26,26,21035,15812,7506,0.7517
2023,28,28,27915,21378,10868,0.7658
2024,28,28,35894,28328,13677,0.7892
2025,27,27,46402,37821,15881,0.8151
2026,7,7,26017,24982,2054,0.9602
