venue,year,specific_parent_category,specific_label_cn,count,venue_year_total,share
AAAI,2020,Information Extraction,知识抽取：实体识别、关系抽取与事件理解,337,1601,0.21049344159900063
AAAI,2020,Video Understanding,视频理解：动作识别、长视频与时序建模,335,1601,0.20924422236102436
AAAI,2020,Optimization,优化理论：梯度方法、收敛性与训练动力学,276,1601,0.17239225484072454
AAAI,2020,Recommendation,推荐系统：排序、召回与点击率预测,201,1601,0.12554653341661462
AAAI,2020,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,132,1601,0.08244846970643348
AAAI,2020,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,116,1601,0.07245471580262336
AAAI,2020,Agents / Game Theory,多智能体：机制设计、拍卖与资源分配,105,1601,0.0655840099937539
AAAI,2020,Probabilistic ML,概率机器学习：变分推断、不确定性与后验建模,99,1601,0.06183635227982511
AAAI,2021,Computer Vision,视觉感知：语义/实例/全景分割,315,1642,0.19183922046285018
AAAI,2021,Generative AI,生成模型：扩散模型、采样与内容生成,310,1642,0.18879415347137637
AAAI,2021,Optimization,优化理论：梯度方法、收敛性与训练动力学,234,1642,0.1425091352009744
AAAI,2021,Probabilistic ML,概率机器学习：变分推断、不确定性与后验建模,203,1642,0.12362971985383678
AAAI,2021,Reinforcement Learning,在线决策：Bandit、后悔界与探索,202,1642,0.12302070645554203
AAAI,2021,Recommendation,推荐系统：排序、召回与点击率预测,189,1642,0.11510353227771011
AAAI,2021,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,131,1642,0.07978075517661389
AAAI,2021,Causal ML,因果学习：因果发现、反事实与处理效应,58,1642,0.03532277710109622
AAAI,2022,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,217,1315,0.1650190114068441
AAAI,2022,Optimization,优化理论：随机/非凸优化与收敛率,179,1315,0.1361216730038023
AAAI,2022,Computer Vision,视觉感知：目标检测、识别与视觉表征,167,1315,0.1269961977186312
AAAI,2022,Generative AI,生成模型：扩散模型、采样与内容生成,152,1315,0.1155893536121673
AAAI,2022,Reinforcement Learning,强化学习：策略优化、奖励学习与控制,139,1315,0.10570342205323194
AAAI,2022,NLP Reasoning,语言推理：问答、常识与多跳推理,136,1315,0.10342205323193916
AAAI,2022,Security / Vision,多媒体安全：Deepfake检测、伪造识别与攻防,116,1315,0.08821292775665399
AAAI,2022,Graph Learning,图学习：图聚类、表示学习与结构匹配,92,1315,0.0699619771863118
AAAI,2022,Trustworthy LLM,大模型社会安全：偏见、虚假信息与检测,59,1315,0.044866920152091254
AAAI,2022,Video Understanding,视频理解：动作识别、长视频与时序建模,58,1315,0.04410646387832699
AAAI,2023,Robust / Transfer Learning,迁移泛化：域适应、OOD泛化与鲁棒表征,440,1572,0.27989821882951654
AAAI,2023,Optimization,优化理论：梯度方法、收敛性与训练动力学,237,1572,0.15076335877862596
AAAI,2023,Trustworthy NLP,社会计算与安全NLP：偏见、仇恨与立场检测,200,1572,0.1272264631043257
AAAI,2023,NLP,多语言NLP：机器翻译、跨语言与低资源,192,1572,0.12213740458015267
AAAI,2023,Graph Learning,图学习：图聚类、表示学习与结构匹配,163,1572,0.10368956743002544
AAAI,2023,Reinforcement Learning,强化学习：离线策略、奖励建模与控制,162,1572,0.10305343511450382
AAAI,2023,Causal ML,因果学习：因果发现、反事实与处理效应,109,1572,0.0693384223918575
AAAI,2023,Security / Privacy,可信安全：对抗攻击、后门、水印与隐私,69,1572,0.04389312977099236
