venue,year,papers,min_cluster_size,n_neighbors,n_components,raw_topics,raw_outliers,reassigned_outliers,final_outliers,final_topics,largest_topic,median_topic_size,seconds,output_dir
AAAI,2020,1601,8,10,15,84,306,306,0,84,49,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2020
ACL,2020,778,8,10,15,40,110,110,0,40,67,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2020
ACMMM,2020,473,8,10,15,30,50,50,0,30,30,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2020
AIJ,2020,85,6,10,15,7,0,0,0,7,25,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2020
CHI,2020,740,8,10,15,36,148,147,1,36,53,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CHI/year=2020
CVPR,2020,1466,8,10,15,83,325,325,0,83,46,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2020
ECCV,2020,1358,8,10,15,74,240,240,0,74,46,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ECCV/year=2020
EMNLP,2020,751,8,10,15,39,144,144,0,39,43,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=EMNLP/year=2020
ICDE,2020,232,6,10,15,17,30,29,1,17,33,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICDE/year=2020
ICLR,2020,687,8,10,15,38,167,167,0,38,46,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICLR/year=2020
ICML,2020,1084,8,10,15,56,128,128,0,56,58,16.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICML/year=2020
ICRA,2020,1067,8,10,15,58,228,227,1,58,45,16.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ICRA/year=2020
IJCAI,2020,778,8,10,15,47,143,143,0,47,40,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IJCAI/year=2020
IROS,2020,1115,8,10,15,62,253,250,3,62,40,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=IROS/year=2020
JMLR,2020,66,5,10,15,8,9,9,0,8,16,7.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=JMLR/year=2020
KDD,2020,217,6,10,15,14,38,38,0,14,34,12.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=KDD/year=2020
MICCAI,2020,80,6,10,15,7,8,8,0,7,18,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=MICCAI/year=2020
NeurIPS,2020,1898,8,10,15,96,439,439,0,96,55,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=NeurIPS/year=2020
PR,2020,495,8,10,15,31,60,60,0,31,34,14.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=PR/year=2020
RSS,2020,98,6,10,15,10,10,10,0,10,14,10.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=RSS/year=2020
SIGIR,2020,147,6,10,15,11,20,20,0,11,35,11.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGIR/year=2020
SIGMOD,2020,159,6,10,15,14,20,20,0,14,17,11.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=SIGMOD/year=2020
TKDE,2020,402,8,10,15,25,74,74,0,25,31,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TKDE/year=2020
TMM,2020,403,8,10,15,23,46,46,0,23,39,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=TMM/year=2020
WWW,2020,317,8,10,15,17,23,23,0,17,39,18.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=WWW/year=2020
AAAI,2021,1642,8,10,15,88,333,333,0,88,46,17.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AAAI/year=2021
ACL,2021,710,8,10,15,38,168,168,0,38,43,17.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACL/year=2021
ACMMM,2021,542,8,10,15,31,107,106,1,31,41,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=ACMMM/year=2021
AIJ,2021,106,6,10,15,8,20,20,0,8,22,12.5,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=AIJ/year=2021
CVPR,2021,1660,8,10,15,94,229,229,0,94,48,15.0,0.0,results/fine_grained_venue_year_topics_2020_2026_mcs_fine/venue=CVPR/year=2021
