venue,year,family,count,venue_year_total,share_pct
AAAI,2020,视觉/三维/视频,335,1601,20.924422236102437
AAAI,2020,强化学习,237,1601,14.803247970018738
AAAI,2020,优化/理论,375,1601,23.422860712054966
AAAI,2020,推荐/检索/图,201,1601,12.554653341661462
AAAI,2020,可信安全,116,1601,7.245471580262336
AAAI,2020,NLP/语音,337,1601,21.049344159900063
AAAI,2021,生成模型,310,1642,18.879415347137638
AAAI,2021,视觉/三维/视频,315,1642,19.18392204628502
AAAI,2021,强化学习,202,1642,12.302070645554203
AAAI,2021,优化/理论,495,1642,30.146163215590743
AAAI,2021,推荐/检索/图,189,1642,11.510353227771011
AAAI,2021,可信安全,131,1642,7.978075517661389
AAAI,2022,生成模型,152,1315,11.55893536121673
AAAI,2022,视觉/三维/视频,225,1315,17.110266159695815
AAAI,2022,强化学习,139,1315,10.570342205323193
AAAI,2022,优化/理论,179,1315,13.612167300380229
AAAI,2022,推荐/检索/图,92,1315,6.996197718631179
AAAI,2022,可信安全,175,1315,13.307984790874524
AAAI,2022,其他,353,1315,26.844106463878326
AAAI,2023,强化学习,162,1572,10.305343511450381
AAAI,2023,优化/理论,346,1572,22.010178117048344
AAAI,2023,推荐/检索/图,163,1572,10.368956743002544
AAAI,2023,可信安全,69,1572,4.3893129770992365
AAAI,2023,NLP/语音,192,1572,12.213740458015266
AAAI,2023,其他,640,1572,40.71246819338422
AAAI,2024,大模型,232,2331,9.952809952809954
AAAI,2024,生成模型,230,2331,9.867009867009866
AAAI,2024,视觉/三维/视频,743,2331,31.874731874731875
AAAI,2024,强化学习,428,2331,18.361218361218363
AAAI,2024,推荐/检索/图,229,2331,9.824109824109824
AAAI,2024,可信安全,154,2331,6.606606606606606
AAAI,2024,AI4Science/健康,70,2331,3.003003003003003
AAAI,2024,其他,245,2331,10.51051051051051
AAAI,2025,大模型,378,3028,12.48348745046235
AAAI,2025,多模态,397,3028,13.110964332893
AAAI,2025,生成模型,380,3028,12.549537648612946
AAAI,2025,视觉/三维/视频,342,3028,11.29458388375165
AAAI,2025,强化学习,304,3028,10.039630118890356
AAAI,2025,优化/理论,460,3028,15.191545574636725
AAAI,2025,推荐/检索/图,83,3028,2.74108322324967
AAAI,2025,可信安全,255,3028,8.421400264200793
AAAI,2025,AI4Science/健康,324,3028,10.700132100396301
AAAI,2025,其他,105,3028,3.4676354029062084
AAAI,2026,大模型,940,4149,22.656061701614846
AAAI,2026,多模态,546,4149,13.159797541576285
AAAI,2026,视觉/三维/视频,826,4149,19.908411665461557
AAAI,2026,强化学习,463,4149,11.159315497710292
AAAI,2026,推荐/检索/图,592,4149,14.268498433357435
AAAI,2026,可信安全,328,4149,7.905519402265607
AAAI,2026,AI4Science/健康,334,4149,8.050132562063148
AAAI,2026,其他,120,4149,2.8922631959508314
ACL,2020,大模型,118,778,15.167095115681233
ACL,2020,生成模型,195,778,25.064267352185087
ACL,2020,视觉/三维/视频,50,778,6.426735218508997
ACL,2020,推荐/检索/图,90,778,11.568123393316196
